video_path,true_label,pred_label,violence_prob,error_type
data/processed/val\1\FXC43fACfPc_0.avi,1,0,0.10200472921133041,False Negative
data/processed/val\1\FXC43fACfPc_1.avi,1,0,0.08572937548160553,False Negative
data/processed/val\1\FXC43fACfPc_2.avi,1,0,0.4870481789112091,False Negative
data/processed/val\1\I-QiUMPTWNE_5.avi,1,0,0.49355411529541016,False Negative
data/processed/val\1\I-QiUMPTWNE_8.avi,1,0,0.15374307334423065,False Negative
data/processed/val\1\MxkTo5F-nvU_0.avi,1,0,0.3229777216911316,False Negative
data/processed/val\1\MxkTo5F-nvU_1.avi,1,0,0.4217016398906708,False Negative
data/processed/val\1\MxkTo5F-nvU_2.avi,1,0,0.1892145872116089,False Negative
data/processed/val\1\MxkTo5F-nvU_4.avi,1,0,0.3221135437488556,False Negative
data/processed/val\1\Q0v2MB0b_0.avi,1,0,0.4846055507659912,False Negative
data/processed/val\1\Qj3oZsaqNGE_0.avi,1,0,0.1126016303896904,False Negative
data/processed/val\1\TYRFDVD_1104.avi,1,0,0.2561831772327423,False Negative
data/processed/val\1\TYRFDVD_1106.avi,1,0,0.12711496651172638,False Negative
data/processed/val\1\TYRFDVD_1109.avi,1,0,0.15666644275188446,False Negative
data/processed/val\1\TYRFDVD_1110.avi,1,0,0.13653962314128876,False Negative
data/processed/val\1\TYRFDVD_1112.avi,1,0,0.0599513053894043,False Negative
data/processed/val\1\V_1.mp4,1,0,0.11744437366724014,False Negative
data/processed/val\1\V_10.mp4,1,0,0.05593783035874367,False Negative
data/processed/val\1\V_2.mp4,1,0,0.03338472172617912,False Negative
data/processed/val\1\V_3.mp4,1,0,0.33046695590019226,False Negative
data/processed/val\1\V_33.mp4,1,0,0.06606113165616989,False Negative
data/processed/val\1\V_6.mp4,1,0,0.24854347109794617,False Negative
data/processed/val\1\V_7.mp4,1,0,0.10933815687894821,False Negative
data/processed/val\1\V_72.mp4,1,0,0.34068208932876587,False Negative
data/processed/val\1\V_8.mp4,1,0,0.0548282191157341,False Negative
data/processed/val\1\V_9.mp4,1,0,0.45041120052337646,False Negative
data/processed/val\1\YDOJvzChqSg_0.avi,1,0,0.19917801022529602,False Negative
data/processed/val\1\YDOJvzChqSg_1.avi,1,0,0.31529542803764343,False Negative
